Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Villafranca Padovana;867.280;Villafranca Padovana;2.607.793;314,12;209.65;104,47;1.740.513;2003;8.302
Villanova di Camposampiero;645.400;Villanova di Camposampiero;1.432.308;284,41;156.26;128,16;786.908;2003;5.036
Vo;466.740;Vo;1.342.628;389,39;254.03;135,37;875.888;2003;3.448
Due Carrare;1.481.840;Due Carrare;3.288.229;393,47;216.15;177,32;1.806.389;2003;8.357
Adria;4.378.250;Adria;9.772.739;472;260.54;211,46;5.394.489;2003;20.705
Ariano nel Polesine;1.057.890;Ariano nel Polesine;1.964.175;402,58;185.75;216,83;906.285;2003;4.879
Arqua' Polesine;1.278.300;Arquà Polesine;1.510.846;535,38;82.40;452,98;232.546;2003;2.822
Badia Polesine;1.905.150;Badia Polesine;4.756.174;448,91;269.09;179,82;2.851.024;2003;10.595
Bagnolo di Po;154.410;Bagnolo di Po;435.354;308,11;198.83;109,28;280.944;2003;1.413
Bergantino;533.140;Bergantino;1.402.195;536,21;332.33;203,88;869.055;2003;2.615
Bosaro;134.050;Bosaro;471.192;342,93;245.37;97,56;337.142;2003;1.374
Calto;186.440;Calto;458.391;535,5;317.70;217,8;271.951;2003;856.000
Canaro;949.920;Canaro;1.202.011;418,97;87.87;331,1;252.091;2003;2.869
Canda;118.640;Canda;333.604;348,23;224.39;123,84;214.964;2003;958.000
Castelguglielmo;182.360;Castelguglielmo;583.463;334,55;229.99;104,56;401.103;2003;1.744
Castelmassa;700.620;Castelmassa;2.126.883;490,18;328.71;161,47;1.426.263;2003;4.339
Castelnovo Bariano;435.670;Castelnovo Bariano;1.266.143;411,89;270.16;141,73;830.473;2003;3.074
Ceneselli;277.020;Ceneselli;786.738;421,84;273.31;148,54;509.718;2003;1.865
Ceregnano;521.090;Ceregnano;1.426.991;361,17;229.28;131,89;905.901;2003;3.951
Corbola;659.480;Corbola;1.122.565;426,18;175.81;250,37;463.085;2003;2.634
Costa di Rovigo;469.040;Costa di Rovigo;1.143.263;390,86;230.50;160,36;674.223;2003;2.925
Crespino;238.560;Crespino;596.254;285,29;171.15;114,14;357.694;2003;2.090
Ficarolo;615.320;Ficarolo;1.267.135;459,61;236.42;223,18;651.815;2003;2.757
Fiesso Umbertiano;594.540;Fiesso Umbertiano;1.600.851;380,88;239.43;141,46;1.006.311;2003;4.203
Frassinelle Polesine;180.560;Frassinelle Polesine;511.566;326,88;211.51;115,37;331.006;2003;1.565
Fratta Polesine;372.935;Fratta Polesine;1.091.633;394,8;259.93;134,88;718.698;2003;2.765
Gaiba;358.010;Gaiba;653.241;586,39;265.02;321,37;295.231;2003;1.114
Gavello;194.490;Gavello;524.754;324,72;204.37;120,35;330.264;2003;1.616
Giacciano Con Baruchella;338.210;Giacciano con Baruchella;855.617;374,61;226.54;148,08;517.407;2003;2.284
Guarda Veneta;116.490;Guarda Veneta;418.827;362,31;261.54;100,77;302.337;2003;1.156
Lendinara;5.145.120;Lendinara;6.493.792;535,61;111.24;424,37;1.348.672;2003;12.124
Loreo;584.060;Loreo;1.448.233;376,26;224.52;151,74;864.173;2003;3.849
Lusia;1.590.580;Lusia;1.733.420;481,1;39.64;441,46;142.840;2003;3.603
Melara;319.140;Melara;778.618;404,06;238.44;165,61;459.478;2003;1.927
Occhiobello;5.062.540;Occhiobello;6.619.723;643,82;151.45;492,37;1.557.183;2003;10.282
Papozze;292.590;Papozze;719.959;426,52;253.18;173,34;427.369;2003;1.688
Pettorazza Grimani;188.720;Pettorazza Grimani;520.382;302,9;193.05;109,85;331.662;2003;1.718
Pincara;131.030;Pincara;405.769;314,55;212.98;101,57;274.739;2003;1.290
Polesella;692.850;Polesella;1.609.182;397,82;226.53;171,29;916.332;2003;4.045
Pontecchio Polesine;469.670;Pontecchio Polesine;654.027;426,91;120.34;306,57;184.357;2003;1.532
Porto Tolle;5.175.650;Porto Tolle;5.971.784;569,55;75.93;493,62;796.134;2003;10.485
Rosolina;5.274.820;Rosolina;5.679.430;906,1;64.55;841,55;404.610;2003;6.268
Rovigo;22.477.268;Rovigo;33.309.239;655,98;213.32;442,66;10.831.971;2003;50.778
Salara;197.330;Salara;456.566;369,39;209.74;159,65;259.236;2003;1.236
San Bellino;145.520;San Bellino;419.560;349,05;227.99;121,06;274.040;2003;1.202
San Martino di Venezze;522.940;San Martino di Venezze;1.589.533;406,74;272.93;133,81;1.066.593;2003;3.908
Stienta;504.790;Stienta;1.351.894;436,09;273.26;162,84;847.104;2003;3.100
Taglio di Po;3.275.095;Taglio di Po;3.994.278;475,57;85.63;389,94;719.183;2003;8.399
Trecenta;521.310;Trecenta;1.290.701;414,22;246.92;167,3;769.391;2003;3.116
Villadose;827.840;Villadose;2.110.135;397,61;241.62;155,99;1.282.295;2003;5.307
Villamarzana;132.455;Villamarzana;417.348;351,9;240.21;111,68;284.893;2003;1.186
Villanova del Ghebbo;929.480;Villanova del Ghebbo;1.184.093;539,2;115.94;423,26;254.613;2003;2.196
Villanova Marchesana;132.460;Villanova Marchesana;426.141;392,03;270.18;121,86;293.681;2003;1.087
Porto Viro;6.499.595;Porto Viro;7.918.493;552,39;98.98;453,41;1.418.898;2003;14.335
Affi;1.086.580;Affi;1.792.337;860,46;338.82;521,64;705.757;2004;2.083
Albaredo d'Adige;697.750;Albaredo d'Adige;1.676.175;326,23;190.43;135,8;978.425;2004;5.138
Angiari;349.450;Angiari;766.532;405,14;220.45;184,7;417.082;2004;1.892
Arcole;725.700;Arcole;2.191.260;383,89;256.76;127,14;1.465.560;2004;5.708
Badia Calavena;480.200;Badia Calavena;806.775;327,82;132.70;195,12;326.575;2004;2.461
Bardolino;3.992.020;Bardolino;7.901.016;1.238,99;612.98;626;3.908.996;2004;6.377
Belfiore;358.547;Belfiore;968.203;352,59;222.02;130,57;609.656;2004;2.746
Bevilacqua;172.600;Bevilacqua;769.776;427,42;331.58;95,84;597.176;2004;1.801
Bonavigo;179.190;Bonavigo;740.039;371,88;281.83;90,05;560.849;2004;1.990
Boschi Sant'Anna;254.120;Boschi Sant'Anna;493.708;360,63;175.01;185,62;239.588;2004;1.369
Bosco Chiesanuova;1.873.700;Bosco Chiesanuova;2.037.874;601,85;48.49;553,37;164.174;2004;3.386
Bovolone;6.137.210;Bovolone;7.409.020;531,72;91.27;440,45;1.271.810;2004;13.934
Brentino Belluno;327.120;Brentino Belluno;705.940;529,59;284.19;245,4;378.820;2004;1.333
Brenzone;1.202.920;Brenzone;1.777.983;712,9;230.58;482,33;575.063;2004;2.494
Bussolengo;6.138.720;Bussolengo;9.961.918;545,38;209.31;336,07;3.823.198;2004;18.266
Buttapietra;603.200;Buttapietra;1.910.866;308,45;211.08;97,37;1.307.666;2004;6.195
Caldiero;1.430.214;Caldiero;2.626.127;434,36;197.80;236,56;1.195.913;2004;6.046
Caprino Veronese;1.114.760;Caprino Veronese;2.842.292;371,2;225.61;145,59;1.727.532;2004;7.657
Casaleone;852.820;Casaleone;2.551.671;424,57;282.67;141,9;1.698.851;2004;6.010
Castagnaro;619.760;Castagnaro;1.603.232;391,89;240.40;151,49;983.472;2004;4.091
Castel d'Azzano;1.112.370;Castel d'Azzano;3.594.005;332,01;229.25;102,76;2.481.635;2004;10.825
Castelnuovo del Garda;4.085.412;Castelnuovo del Garda;6.118.328;612,57;203.54;409,03;2.032.916;2004;9.988
Cavaion Veronese;1.631.720;Cavaion Veronese;2.397.935;537,77;171.84;365,94;766.215;2004;4.459
Cazzano di Tramigna;363.070;Cazzano di Tramigna;569.633;425,1;154.15;270,95;206.563;2004;1.340
Cerea;2.442.400;Cerea;7.103.977;459,12;301.27;157,85;4.661.577;2004;15.473
Cerro Veronese;926.300;Cerro Veronese;1.111.620;488,84;81.50;407,34;185.320;2004;2.274
Cologna Veneta;1.150.220;Cologna Veneta;2.808.546;342,21;202.06;140,15;1.658.326;2004;8.207
Colognola ai Colli;1.925.080;Colognola ai Colli;3.631.777;485,47;228.14;257,33;1.706.697;2004;7.481
Concamarise;129.740;Concamarise;387.115;370,8;246.53;124,27;257.375;2004;1.044
Costermano;1.347.420;Costermano;2.319.600;699,1;293.00;406,09;972.180;2004;3.318
Dolce';322.980;Dolcè;823.667;345,06;209.76;135,31;500.687;2004;2.387
Erbe';167.710;Erbè;497.869;307,52;203.93;103,59;330.159;2004;1.619
Erbezzo;295.080;Erbezzo;355.230;439,1;74.35;364,75;60.150;2004;809.000
Ferrara di Monte Baldo;217.550;Ferrara di Monte Baldo;225.690;1.044,86;37.69;1.007,18;8.140;2004;216.000
Fumane;422.840;Fumane;1.434.465;367,06;258.86;108,2;1.011.625;2004;3.908
Garda;2.988.510;Garda;4.139.965;1.085,18;301.82;783,36;1.151.455;2004;3.815
Gazzo Veronese;711.330;Gazzo Veronese;1.953.465;349,83;222.45;127,39;1.242.135;2004;5.584
Grezzana;3.714.200;Grezzana;4.314.830;409,96;57.07;352,89;600.630;2004;10.525
Illasi;1.322.765;Illasi;2.228.266;435,89;177.13;258,76;905.501;2004;5.112
Isola della Scala;1.362.140;Isola della Scala;4.060.485;372,62;247.62;125;2.698.345;2004;10.897
Isola Rizza;459.660;Isola Rizza;1.291.681;433,89;279.48;154,4;832.021;2004;2.977
Lavagno;1.393.095;Lavagno;2.391.024;384,29;160.39;223,9;997.929;2004;6.222
Lazise;5.590.660;Lazise;6.884.728;1.108,12;208.28;899,83;1.294.068;2004;6.213
Legnago;4.182.180;Legnago;12.909.275;512,66;346.57;166,08;8.727.095;2004;25.181
Malcesine;2.255.900;Malcesine;3.600.129;1.029,20;384.29;644,91;1.344.229;2004;3.498
Marano di Valpolicella;538.380;Marano di Valpolicella;1.257.066;422,54;241.58;180,97;718.686;2004;2.975
Mezzane di Sotto;298.420;Mezzane di Sotto;678.998;348,38;195.27;153,11;380.578;2004;1.949
Minerbe;656.740;Minerbe;1.853.344;402,99;260.19;142,8;1.196.604;2004;4.599
Montecchia di Crosara;802.880;Montecchia di Crosara;1.366.180;309,51;127.62;181,89;563.300;2004;4.414
Monteforte d'Alpone;1.550.535;Monteforte d'Alpone;3.037.444;399,82;195.72;204,1;1.486.909;2004;7.597
Mozzecane;1.712.120;Mozzecane;2.735.469;487,52;182.38;305,14;1.023.349;2004;5.611
Negrar;1.748.640;Negrar;5.440.633;325,69;221.01;104,68;3.691.993;2004;16.705
Nogara;1.645.670;Nogara;3.991.649;489,53;287.71;201,82;2.345.979;2004;8.154
Nogarole Rocca;453.330;Nogarole Rocca;1.256.292;406,83;260.03;146,8;802.962;2004;3.088
Oppeano;2.095.100;Oppeano;3.633.560;453,18;191.88;261,3;1.538.460;2004;8.018
Palu';118.810;Palù;346.628;293,5;192.90;100,6;227.818;2004;1.181
Pastrengo;691.930;Pastrengo;1.146.050;461;182.67;278,33;454.120;2004;2.486
Pescantina;5.171.390;Pescantina;7.096.119;503,41;136.54;366,87;1.924.729;2004;14.096
Peschiera del Garda;5.799.000;Peschiera del Garda;7.982.752;886,38;242.48;643,9;2.183.752;2004;9.006
Povegliano Veronese;856.540;Povegliano Veronese;2.291.247;331,06;207.30;123,76;1.434.707;2004;6.921
Pressana;233.200;Pressana;774.994;314,4;219.79;94,6;541.794;2004;2.465
Rivoli Veronese;165.820;Rivoli Veronese;615.944;302,97;221.41;81,56;450.124;2004;2.033
Ronca';1.042.030;Roncà;1.162.540;334,16;34.64;299,52;120.510;2004;3.479
Ronco all'Adige;906.390;Ronco all'Adige;1.906.018;326,71;171.35;155,36;999.628;2004;5.834
Roverchiara;407.890;Roverchiara;989.239;368,43;216.52;151,91;581.349;2004;2.685
Roveredo di Gua';103.830;Roveredo di Guà;297.822;207,25;135.00;72,25;193.992;2004;1.437
Rovere' Veronese;790.824;Roverè Veronese;888.579;417,37;45.92;371,45;97.755;2004;2.129
Salizzole;503.620;Salizzole;1.383.461;365,22;232.27;132,95;879.841;2004;3.788
San Bonifacio;3.624.200;San Bonifacio;8.535.830;453,79;261.12;192,67;4.911.630;2004;18.810
San Giovanni Ilarione;659.110;San Giovanni Ilarione;1.374.560;271,28;141.20;130,08;715.450;2004;5.067
San Giovanni Lupatoto;10.093.900;San Giovanni Lupatoto;12.693.623;571,32;117.01;454,31;2.599.723;2004;22.218
Sanguinetto;879.700;Sanguinetto;1.930.808;481,62;262.19;219,43;1.051.108;2004;4.009
San Martino Buon Albergo;2.327.820;San Martino Buon Albergo;5.147.637;389,06;213.12;175,94;2.819.817;2004;13.231
San Mauro di Saline;214.963;San Mauro di Saline;241.535;423,75;46.62;377,13;26.572;2004;570.000
San Pietro di Morubio;427.080;San Pietro di Morubio;1.093.562;386,69;235.67;151,02;666.482;2004;2.828
San Pietro in Cariano;1.432.380;San Pietro in Cariano;4.882.593;386,77;273.31;113,46;3.450.213;2004;12.624
Sant'Ambrogio di Valpolicella;1.020.950;Sant'Ambrogio di Valpolicella;3.766.553;353,47;257.66;95,81;2.745.603;2004;10.656
Sant'Anna d'Alfaedo;932.170;Sant'Anna d'Alfaedo;1.115.930;438,65;72.23;366,42;183.760;2004;2.544
San Zeno di Montagna;715.860;San Zeno di Montagna;1.004.337;756,28;217.23;539,05;288.477;2004;1.328
Selva di Progno;386.535;Selva di Progno;459.605;466,6;74.18;392,42;73.070;2004;985.000
Soave;1.482.495;Soave;2.972.904;437,19;219.18;218,01;1.490.409;2004;6.800
Sommacampagna;1.211.000;Sommacampagna;4.482.971;324,88;237.12;87,76;3.271.971;2004;13.799
Sona;2.150.200;Sona;5.673.461;377,73;234.57;143,16;3.523.261;2004;15.020
Sorga';496.760;Sorgà;1.210.080;399,23;235.34;163,89;713.320;2004;3.031
Terrazzo;261.990;Terrazzo;767.004;328,34;216.19;112,15;505.014;2004;2.336
Torri del Benaco;1.611.470;Torri del Benaco;2.429.633;869,9;292.93;576,97;818.163;2004;2.793
Tregnago;803.090;Tregnago;1.823.428;375,04;209.86;165,18;1.020.338;2004;4.862
Trevenzuolo;369.490;Trevenzuolo;1.030.323;398,73;255.74;142,99;660.833;2004;2.584
Valeggio sul Mincio;4.165.600;Valeggio sul Mincio;6.625.802;546,77;203.02;343,75;2.460.202;2004;12.118
Velo Veronese;298.622;Velo Veronese;335.536;423,66;46.61;377,05;36.913;2004;792.000
Verona;98.679.740;Verona;137.165.090;529,46;148.55;380,9;38.485.350;2004;259.068
Veronella;537.340;Veronella;1.427.939;361,87;225.70;136,17;890.599;2004;3.946
Vestenanova;756.055;Vestenanova;902.670;336,44;54.65;281,79;146.615;2004;2.683
Vigasio;934.380;Vigasio;2.719.286;367,82;241.43;126,39;1.784.906;2004;7.393
Villa Bartolomea;1.093.120;Villa Bartolomea;2.616.533;475,73;276.98;198,75;1.523.413;2004;5.500
Villafranca di Verona;9.768.840;Villafranca di Verona;16.352.754;535,79;215.72;320,07;6.583.914;2004;30.521
Zevio;3.387.150;Zevio;5.497.040;421,07;161.62;259,45;2.109.890;2004;13.055
Zimella;393.400;Zimella;1.193.487;258;172.95;85,04;800.087;2004;4.626
Agugliaro;93.820;Agugliaro;339.802;258,6;187.20;71,4;245.982;2004;1.314
Albettone;308.860;Albettone;563.700;273,11;123.47;149,64;254.840;2004;2.064
Alonte;174.350;Alonte;370.087;257,9;136.40;121,5;195.737;2004;1.435
Altavilla Vicentina;1.987.072;Altavilla Vicentina;4.391.235;413,64;226.47;187,18;2.404.163;2004;10.616
Altissimo;244.740;Altissimo;495.357;215,65;109.11;106,55;250.617;2004;2.297
Arcugnano;2.513.312;Arcugnano;3.787.870;503,77;169.51;334,26;1.274.558;2004;7.519
Arsiero;474.542;Arsiero;1.012.870;294,52;156.54;137,99;538.328;2004;3.439
Arzignano;3.387.000;Arzignano;9.320.673;376,36;239.60;136,77;5.933.673;2004;24.765
Asiago;4.094.350;Asiago;4.756.322;719,35;100.12;619,23;661.972;2004;6.612
Asigliano Veneto;77.550;Asigliano Veneto;237.695;256,69;172.94;83,75;160.145;2004;926.000
Barbarano Vicentino;651.600;Barbarano Vicentino;1.704.657;403,56;249.30;154,26;1.053.057;2004;4.224
Bassano del Grappa;9.478.139;Bassano del Grappa;22.815.569;546,45;319.44;227,01;13.337.430;2004;41.752
Bolzano Vicentino;764.020;Bolzano Vicentino;2.062.171;345,77;217.66;128,11;1.298.151;2004;5.964
Breganze;677.839;Breganze;2.835.821;341,05;259.53;81,52;2.157.982;2004;8.315
Brendola;926.466;Brendola;2.149.753;332,99;189.48;143,5;1.223.287;2004;6.456
Bressanvido;337.590;Bressanvido;979.811;329,68;216.09;113,59;642.221;2004;2.972
Brogliano;351.300;Brogliano;789.518;244,06;135.46;108,59;438.218;2004;3.235
Caldogno;1.026.626;Caldogno;3.286.585;310,06;213.20;96,85;2.259.959;2004;10.600
Caltrano;640.335;Caltrano;853.804;322,56;80.65;241,91;213.469;2004;2.647
Calvene;316.801;Calvene;401.468;306,46;64.63;241,83;84.667;2004;1.310
Camisano Vicentino;1.365.600;Camisano Vicentino;3.514.510;382,05;233.60;148,45;2.148.910;2004;9.199
Campiglia dei Berici;143.880;Campiglia dei Berici;460.677;262,2;180.31;81,89;316.797;2004;1.757
Campolongo sul Brenta;223.381;Campolongo sul Brenta;357.378;423,94;158.95;264,98;133.997;2004;843.000
Carre';1.118.830;Carrè;1.491.000;438,01;109.33;328,68;372.170;2004;3.404
Cartigliano;578.270;Cartigliano;1.145.961;320,1;158.57;161,53;567.691;2004;3.580
Cassola;2.618.830;Cassola;5.385.606;406,89;209.03;197,86;2.766.776;2004;13.236
Castegnero;283.260;Castegnero;738.034;276;170.07;105,93;454.774;2004;2.674
Castelgomberto;815.080;Castelgomberto;1.690.281;289,58;149.94;139,64;875.201;2004;5.837
Chiampo;1.428.060;Chiampo;3.776.996;300,29;186.75;113,54;2.348.936;2004;12.578
Chiuppano;653.152;Chiuppano;957.951;363,96;115.81;248,16;304.799;2004;2.632
Cismon del Grappa;257.764;Cismon del Grappa;396.322;372,48;130.22;242,26;138.558;2004;1.064
Cogollo del Cengio;976.145;Cogollo del Cengio;1.284.112;371,45;89.09;282,37;307.967;2004;3.457
Conco;1.052.300;Conco;1.177.241;523,22;55.53;467,69;124.941;2004;2.250
Cornedo Vicentino;1.423.460;Cornedo Vicentino;3.086.301;269,92;145.43;124,49;1.662.841;2004;11.434
Costabissara;776.420;Costabissara;2.312.273;382,89;254.32;128,57;1.535.853;2004;6.039
Creazzo;1.607.020;Creazzo;4.109.763;379,02;230.82;148,21;2.502.743;2004;10.843
Crespadoro;221.040;Crespadoro;441.186;278,7;139.07;139,63;220.146;2004;1.583
Dueville;2.781.921;Dueville;5.450.626;401,37;196.52;204,85;2.668.705;2004;13.580
Enego;922.510;Enego;988.830;504,51;33.84;470,67;66.320;2004;1.960
Fara Vicentino;325.610;Fara Vicentino;941.737;240,85;157.58;83,28;616.127;2004;3.910
Foza;321.900;Foza;355.162;487,19;45.63;441,56;33.262;2004;729.000
Gallio;1.802.040;Gallio;1.907.783;793,26;43.97;749,29;105.743;2004;2.405
Gambellara;436.310;Gambellara;1.071.412;325,36;192.86;132,5;635.102;2004;3.293
Gambugliano;57.800;Gambugliano;175.033;219,34;146.91;72,43;117.233;2004;798.000
Grancona;125.427;Grancona;271.166;153,72;82.62;71,1;145.738;2004;1.764
Grisignano di Zocco;596.153;Grisignano di Zocco;1.743.909;407,17;267.98;139,19;1.147.756;2004;4.283
Grumolo delle Abbadesse;424.964;Grumolo delle Abbadesse;1.118.758;312,68;193.91;118,77;693.794;2004;3.578
Isola Vicentina;1.309.180;Isola Vicentina;2.769.532;327,83;172.86;154,97;1.460.352;2004;8.448
Laghi;41.645;Laghi;56.704;439,57;116.74;322,83;15.059;2004;129.000
Lastebasse;81.636;Lastebasse;104.670;422,06;92.88;329,18;23.034;2004;248.000
Longare;551.105;Longare;1.601.269;288,99;189.53;99,46;1.050.164;2004;5.541
Lonigo;2.514.710;Lonigo;5.584.708;371,45;204.19;167,26;3.069.998;2004;15.035
Lugo di Vicenza;359.799;Lugo di Vicenza;1.090.985;288,39;193.28;95,11;731.186;2004;3.783
Lusiana;878.590;Lusiana;1.078.466;369,97;68.57;301,4;199.876;2004;2.915
Malo;1.597.610;Malo;4.476.735;338,74;217.85;120,88;2.879.125;2004;13.216
Marano Vicentino;901.460;Marano Vicentino;3.010.321;326,22;228.53;97,69;2.108.861;2004;9.228
Marostica;1.689.580;Marostica;5.184.522;390,43;263.19;127,24;3.494.942;2004;13.279
Mason Vicentino;360.896;Mason Vicentino;1.070.471;319,16;211.56;107,6;709.575;2004;3.354
Molvena;272.211;Molvena;831.141;325,17;218.67;106,5;558.930;2004;2.556
Montebello Vicentino;779.470;Montebello Vicentino;2.052.362;339,8;210.74;129,05;1.272.892;2004;6.040
Montecchio Maggiore;3.477.774;Montecchio Maggiore;8.686.046;387,41;232.29;155,11;5.208.272;2004;22.421
Montecchio Precalcino;626.465;Montecchio Precalcino;1.633.637;338,58;208.74;129,84;1.007.172;2004;4.825
Monte di Malo;756.920;Monte di Malo;944.112;326,01;64.64;261,37;187.192;2004;2.896
Montegalda;367.110;Montegalda;991.491;310,03;195.24;114,79;624.381;2004;3.198
Montegaldella;198.984;Montegaldella;573.416;325,43;212.50;112,93;374.432;2004;1.762
Monteviale;300.120;Monteviale;583.302;278,83;135.36;143,46;283.182;2004;2.092
Monticello Conte Otto;1.468.458;Monticello Conte Otto;3.646.353;404,16;241.40;162,76;2.177.895;2004;9.022
Montorso Vicentino;355.320;Montorso Vicentino;824.283;277,07;157.63;119,44;468.963;2004;2.975
Mossano;264.202;Mossano;503.153;294,24;139.74;154,5;238.951;2004;1.710
Mussolente;1.178.000;Mussolente;2.564.291;355,66;192.27;163,38;1.386.291;2004;7.210
Nanto;251.808;Nanto;675.074;259,34;162.61;96,74;423.266;2004;2.603
Nogarole Vicentino;82.600;Nogarole Vicentino;226.753;215,34;136.90;78,44;144.153;2004;1.053
Nove;480.080;Nove;1.511.600;303,66;207.22;96,44;1.031.520;2004;4.978
Noventa Vicentina;1.553.540;Noventa Vicentina;3.934.152;463,5;280.47;183,03;2.380.612;2004;8.488
Orgiano;367.470;Orgiano;951.520;296,42;181.95;114,48;584.050;2004;3.210
Pedemonte;203.534;Pedemonte;256.344;320,83;66.10;254,74;52.810;2004;799.000
Pianezze;248.434;Pianezze;694.745;358,67;230.41;128,26;446.311;2004;1.937
Piovene Rocchette;762.098;Piovene Rocchette;2.779.043;346,13;251.21;94,92;2.016.945;2004;8.029
Poiana Maggiore;481.940;Poiana Maggiore;1.262.230;289,24;178.80;110,44;780.290;2004;4.364
Posina;192.266;Posina;267.546;389,44;109.58;279,86;75.280;2004;687.000
Pove del Grappa;851.444;Pove del Grappa;1.600.092;534,97;250.30;284,67;748.648;2004;2.991
Pozzoleone;373.060;Pozzoleone;631.992;238,04;97.53;140,51;258.932;2004;2.655
Quinto Vicentino;614.185;Quinto Vicentino;1.914.096;382,9;260.03;122,86;1.299.911;2004;4.999
Recoaro Terme;630.460;Recoaro Terme;1.755.925;244,25;156.55;87,7;1.125.465;2004;7.189
Roana;2.621.240;Roana;2.862.065;714,8;60.15;654,66;240.825;2004;4.004
Romano d'Ezzelino;2.637.800;Romano d'Ezzelino;6.270.899;437,18;253.28;183,9;3.633.099;2004;14.344
Rosa';1.939.910;Rosà;5.089.883;385,13;238.35;146,78;3.149.973;2004;13.216
Rossano Veneto;1.241.680;Rossano Veneto;2.732.639;392,17;213.97;178,2;1.490.959;2004;6.968
Rotzo;204.045;Rotzo;235.360;399,59;53.17;346,43;31.315;2004;589.000
Salcedo;201.060;Salcedo;310.820;296,87;104.83;192,03;109.760;2004;1.047
Sandrigo;1.296.722;Sandrigo;3.562.449;437,22;278.07;159,15;2.265.727;2004;8.148
San Germano dei Berici;191.396;San Germano dei Berici;413.786;357,95;192.38;165,57;222.389;2004;1.156
San Nazario;432.495;San Nazario;695.832;380,24;143.90;236,34;263.337;2004;1.830
San Pietro Mussolino;137.620;San Pietro Mussolino;337.667;213,85;126.69;87,16;200.047;2004;1.579
Santorso;1.376.140;Santorso;1.777.189;319,58;72.12;247,46;401.049;2004;5.561
San Vito di Leguzzano;457.860;San Vito di Leguzzano;1.230.783;337,66;212.05;125,61;772.923;2004;3.645
